Player,Pos,Age,Tm,All Star,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,0,28,2,408,6.4,10.8,0.59,0,0,0,6.4,10.8,0.59,3.3,5.8,0.561,3.2,6.7,9.9,1.5,1.1,1.3,2.6,4.8,16
Jaylen Adams,PG,24,MIL,0,6,0,17,2.1,16.9,0.125,0,4.2,0,2.1,12.7,0.167,0,0,0,0,6.4,6.4,4.2,0,0,0,2.1,4.2
Steven Adams,C,27,NOP,0,27,27,760,4.5,7.4,0.603,0,0,0,4.5,7.3,0.606,1.4,2.9,0.468,5.5,5.8,11.3,2.7,1.2,0.7,2.2,2.4,10.3
Bam Adebayo,C,23,MIA,0,26,26,873,7.9,13.8,0.573,0.1,0.2,0.4,7.8,13.6,0.576,5.4,6.5,0.841,2.1,7.8,9.9,5.7,1,1.1,3.2,2.8,21.4
LaMarcus Aldridge,C,35,SAS,0,18,18,480,8,16.9,0.476,1.8,5,0.358,6.2,11.8,0.525,1.2,1.6,0.762,1.1,4.7,5.9,2.6,0.5,1.2,1.2,2,19
Ty-Shon Alexander,SG,22,PHO,0,3,0,8,0,13.5,0,0,4.5,0,0,9,0,0,0,0,0,4.5,4.5,4.5,0,0,0,4.5,0
Nickeil Alexander-Walker,SG,22,NOP,0,23,3,441,6.3,15.3,0.41,2,7.1,0.276,4.3,8.2,0.525,2,2.6,0.781,0.4,4.6,5,3.8,2,0.7,2.4,3.3,16.6
Grayson Allen,SG,25,MEM,0,19,8,454,4.8,11.1,0.429,3.5,8,0.436,1.3,3.1,0.41,2.6,2.9,0.892,0.6,3.8,4.4,3.1,1.5,0.2,1.6,1.9,15.6
Jarrett Allen,C,22,TOT,0,28,10,734,6,9.3,0.642,0,0.2,0.25,5.9,9.1,0.651,4.9,6.5,0.758,4,8.3,12.4,2.2,0.6,2.3,2.1,2.2,16.9
Jarrett Allen,C,22,BRK,0,12,5,320,5,7.3,0.677,0,0,0,5,7.3,0.677,5.2,6.9,0.754,4.3,9.8,14.1,2.3,0.8,2.1,2.5,2.4,15.1
Jarrett Allen,C,22,CLE,0,16,5,414,6.8,10.9,0.624,0.1,0.3,0.25,6.7,10.5,0.636,4.7,6.2,0.761,3.8,7.2,11,2.2,0.5,2.3,1.8,2,18.3
Al-Farouq Aminu,PF,30,ORL,0,2,0,16,2.3,2.3,1,2.3,2.3,1,0,0,0,0,4.5,0,2.3,6.8,9,4.5,0,0,4.5,0,6.8
Kyle Anderson,PF,27,MEM,0,24,24,675,6.4,13.7,0.467,2.1,5.5,0.388,4.3,8.2,0.519,2.7,3.4,0.781,1.2,6.8,8,4.9,1.4,1,1.8,2.3,17.6
